"Mead.1000" "Powell.3490" "correlation" "mean" "delta.mean"
"351" 22 8 0.938564598560333 0.675226781857451 0.105671706263499
"352" 23 8 0.939522922039032 0.680194384449244 0.110639308855292
"353" 24 8 0.936497628688812 0.684272138228942 0.114717062634989
"354" 25 8 0.931248962879181 0.68963282937365 0.120077753779698
"355" 26 8 0.927742719650269 0.693982721382289 0.124427645788337
"356" 27 8 0.921809375286102 0.698384449244061 0.128829373650108
"357" 28 8 0.919628322124481 0.70266090712743 0.133105831533477
"358" 29 8 0.917473495006561 0.707641468682505 0.138086393088553
"359" 30 8 0.917975246906281 0.711796976241901 0.142241900647948
"360" 31 8 0.918116211891174 0.716341252699784 0.146786177105832
"361" 32 8 0.916258335113525 0.719982721382289 0.150427645788337
"362" 33 8 0.912648022174835 0.724185745140389 0.154630669546436
"363" 34 8 0.910723686218262 0.727680345572354 0.158125269978402
"364" 35 8 0.911750376224518 0.731585313174946 0.162030237580994
"365" 36 8 0.912607789039612 0.736285097192225 0.166730021598272
"366" 37 8 0.9123774766922 0.74058747300216 0.171032397408207
"367" 38 8 0.910403251647949 0.743987041036717 0.174431965442765
"368" 39 8 0.909936368465424 0.7467343412527 0.177179265658747
"369" 40 8 0.90708339214325 0.750095032397408 0.180539956803456
"370" 0 9 0.810604393482208 0.406634989200864 -0.162920086393089
"371" 1 9 0.855859816074371 0.444462203023758 -0.125092872570194
"372" 2 9 0.883937180042267 0.470328293736501 -0.0992267818574514
"373" 3 9 0.902361690998077 0.49089848812095 -0.0786565874730021
"374" 4 9 0.923402488231659 0.513866090712743 -0.0556889848812094
"375" 5 9 0.941247999668121 0.529356371490281 -0.0401987041036717
"376" 6 9 0.949183642864227 0.545576673866091 -0.0239784017278617
"377" 7 9 0.954860866069794 0.559144708423326 -0.0104103671706264
"378" 8 9 0.973650813102722 0.573170626349892 0.00361555075593956
"379" 9 9 0.978898644447327 0.584285097192225 0.0147300215982722
"380" 10 9 0.990854680538177 0.594725701943844 0.025170626349892
"381" 11 9 0.978326439857483 0.606129589632829 0.0365745140388769
"382" 12 9 0.971328914165497 0.615511879049676 0.0459568034557235
"383" 13 9 0.965185523033142 0.623295896328294 0.0537408207343413
"384" 14 9 0.963047623634338 0.630233261339093 0.0606781857451404
"385" 15 9 0.958127439022064 0.637840172786177 0.0682850971922246
"386" 16 9 0.949802100658417 0.643529157667387 0.0739740820734341
"387" 17 9 0.948085844516754 0.649524838012959 0.0799697624190064
"388" 18 9 0.944273412227631 0.65675161987041 0.087196544276458
"389" 19 9 0.941191971302032 0.662155507559395 0.0926004319654428
"390" 20 9 0.938455700874329 0.668116630669546 0.0985615550755939
"391" 21 9 0.937898099422455 0.673762419006479 0.104207343412527
"392" 22 9 0.938305914402008 0.680561555075594 0.111006479481641
"393" 23 9 0.939454793930054 0.685658747300216 0.116103671706264
"394" 24 9 0.937180280685425 0.689883369330454 0.120328293736501
"395" 25 9 0.931602954864502 0.695416846652268 0.125861771058315
"396" 26 9 0.928418874740601 0.699935205183585 0.130380129589633
"397" 27 9 0.922830998897552 0.704600431965443 0.13504535637149
"398" 28 9 0.920554399490356 0.709084233261339 0.139529157667387
"399" 29 9 0.918709754943848 0.714401727861771 0.144846652267819
"400" 30 9 0.918737471103668 0.718669546436285 0.149114470842333
"401" 31 9 0.918482005596161 0.723347732181425 0.153792656587473
"402" 32 9 0.917066514492035 0.727127429805616 0.157572354211663
"403" 33 9 0.913559317588806 0.731511879049676 0.161956803455724
"404" 34 9 0.912007093429565 0.735140388768899 0.165585313174946
"405" 35 9 0.912966430187225 0.739153347732181 0.169598272138229
"406" 36 9 0.913914918899536 0.744025917926566 0.174470842332613
"407" 37 9 0.913594543933868 0.748496760259179 0.178941684665227
"408" 38 9 0.912029027938843 0.752 0.182444924406048
"409" 39 9 0.911527097225189 0.754933045356372 0.185377969762419
"410" 40 9 0.908054351806641 0.758488120950324 0.188933045356371
"411" 0 10 0.810417473316193 0.407421166306695 -0.162133909287257
"412" 1 10 0.855761289596558 0.445390928725702 -0.124164146868251
"413" 2 10 0.883690416812897 0.471464362850972 -0.0980907127429805
"414" 3 10 0.902089953422546 0.492177105831533 -0.077377969762419
"415" 4 10 0.923249840736389 0.515589632829374 -0.0539654427645788
"416" 5 10 0.941303730010986 0.531365010799136 -0.0381900647948163
"417" 6 10 0.949099063873291 0.547900647948164 -0.0216544276457883
"418" 7 10 0.955062866210938 0.561758099352052 -0.00779697624190068
